partido,zona,empresa,extracto,iframe
Morón,Zona 2 (norte),Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 354 horas ejecutadas entre el 03/09/25 y el 07/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Navarro,Zona 4,Marcalba S.A.,CAÑOS ENTREGADOS |   - 25 caños de hormigón de ø800 mm. entregado el 13/05/25 | BOMBAS | 1 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Ubicación desconocida,
Necochea,Zona 5,Gerónimo Rizzo S.A.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 03 de noviembre mediante Prestación de equipos: Limpieza y reacondicionamiento del canal Tupungato,
Olavarría,Zona 5,Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 512 horas ejecutadas entre el 31/07/25 y el 25/08/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Patagones,Zona 6,Lurovial S.R.L.,,
Pehuajó,Zona 7,Marcalba S.A.,CAÑOS ENTREGADOS |   - 12 caños de chapa corrugada de ø800 mm. entregado el 13/08/25 |   - 15 caños de hormigón de ø800 mm. entregado el 11/04/25 | HORAS MÁQUINAS |   - 318 horas en ejecución desde 22/10/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 2 bombas marca EMA 3.200.000 LTS/HR ubicado en Municipalidad de Pehuajo | 3 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Corralon Municipal de Pehuajo | 2 bombas marca EMA 3.200.000 LTS/HR ubicado en Corralon Municipal de Pehuajo | 1 bombas marca PIVAS PRÉSTAMO BID/3256/20 ubicado en Ubicación desconocida,
Pellegrini,Zona 7,Marcalba S.A.,HORAS MÁQUINAS |   - 438 horas ejecutadas entre el 23/09/25 y el 06/11/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Corralon Municipal de Pellegrini | 1 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Planta de Residuos de Pellegrini,
Pergamino,Zona 1,Olivo Zamboano S.A.,CONVENIOS Y EQUIPOS |   - 1 equipo (Retropala) operativo sin afectación desde el 03 de noviembre | HORAS MÁQUINAS |   - 660 horas en ejecución desde 24/10/25 |   A cargo de la empresa Olivo Zamboano S.A. | BOMBAS | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Secretaria de Servicios Publicos de Pergamino | 2 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Departamento Zona I Pergamino DPH | 1 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Departamento Zona I (Pergamino) DPH,
Pila,Zona 8,Gerónimo Rizzo S.A.,CAÑOS ENTREGADOS |   - 17 caños de chapa corrugada de ø800 mm. entregado el 08/07/25,
Pilar,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Presidente Perón,Zona 2 (centro),Marcalba S.A.,HORAS MÁQUINAS |   - 290 horas en ejecución desde 01/11/25 |   A cargo de la empresa Marcalba S.A.,
